Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1950-0010-JPN,1950,0010,,Natural,Meteorological,Storm,Tropical cyclone,,Jane,Japan,JPN,Eastern Asia,Asia,Entire nation except Kyushu,,,,,,,,,Kph,,,,,1950,9,,1950,9,,509,,642117,,642117,,,,,,,8.23955211,,,,
1950-0025-JPN,1950,0025,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1950,6,,1950,6,,50,,,,,,,,,,,8.23955211,,,,
1950-0030-JPN,1950,0030,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1950,8,,1950,8,,77,,,,,,,,,,,8.23955211,,,,
1951-0019-JPN,1951,0019,,Natural,Meteorological,Storm,Tropical cyclone,,Ruth,Japan,JPN,Eastern Asia,Asia,Entire nation except Hokkaido,,,,,,,,,Kph,,,,,1951,10,,1951,10,,943,,,,,,,,,,,8.889143356,,,,
1951-0013-JPN,1951,0013,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Western Japan,,,,,,,,,Km2,,,,,1951,7,,1951,7,,306,,318534,,318534,,,,,,,8.889143356,,,,
1952-0022-JPN,1952,0022,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Hokkaido Isl.,,Tsunami/Tidal wave,,,,,,8,Richter,42.084,143.899,10:22,,1952,3,4,1952,3,4,33,200,,,200,,,,,,,9.094277433,,,,
1952-0007-JPN,1952,0007,,Natural,Geophysical,Volcanic activity,Ash fall,,Myozin-Syo,Japan,JPN,Eastern Asia,Asia,"Myozin-Syo, Izu Islands",,,,,,,,,,,,,,1952,9,24,1952,9,24,29,,29,,29,,,,,,,9.094277433,,,,
1952-0023-JPN,1952,0023,,Natural,Meteorological,Storm,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1952,7,,1952,7,,176,,,,,,,,,,,9.094277433,,,,
1953-0018-JPN,1953,0018,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,Nagoya,,,,,,,,,Kph,,,,,1953,9,25,1953,9,25,250,,1000000,,1000000,,,,,,,9.162655459,,,,
1953-0043-JPN,1953,0043,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1953,6,,1953,6,,29,,,,,,,,,,,9.162655459,,,,
1953-0013-JPN,1953,0013,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Most of the nation,,,,,,,,,Km2,,,,,1953,6,23,1953,6,23,2566,,1886760,,1886760,,,,,,,9.162655459,,,,
1953-0048-JPN,1953,0048,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1953,7,,1953,7,,1024,,,,,,,,,,,9.162655459,,,,
1953-0051-JPN,1953,0051,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1953,8,,1953,8,,377,,,,,,,,,,,9.162655459,,,,
1954-0019-JPN,1954,0019,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,North Japan,,,,,,,,,Kph,,,,,1954,9,26,1954,9,26,1761,,,,,,,,,,,9.196844472,,,,
1954-0051-JPN,1954,0051,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1954,8,,1954,8,,46,,,,,,,,,,,9.196844472,,,,
1954-0057-JPN,1954,0057,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1954,9,,1954,9,,27,,,,,,,,,,,9.196844472,,,,
1954-0008-JPN,1954,0008,,Natural,Meteorological,Storm,,,,Japan,JPN,Eastern Asia,Asia,"Tohoku, Hokkaido",,,,,,,,,Kph,,,,,1954,5,,1954,5,,419,,47049,,47049,,,,,,,9.196844472,,,,
1955-0039-JPN,1955,0039,,Natural,Hydrological,Landslide,Landslide,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,,,,,,1955,4,,1955,4,,73,,,,,,,,,,,9.149004407,,,,
1955-0047-JPN,1955,0047,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1955,10,,1955,10,,72,,,,,,,,,,,9.149004407,,,,
1955-0036-JPN,1955,0036,,Natural,Meteorological,Storm,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1955,2,,1955,2,,198,,,,,,,,,,,9.149004407,,,,
1956-0029-JPN,1956,0029,,Natural,Hydrological,Landslide,Landslide,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,,,,,,1956,2,,1956,2,,40,,,,,,,,,,,9.288531531,,,,
1956-0040-JPN,1956,0040,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1956,8,,1956,8,,46,,,,,,,,,,,9.288531531,,,,
1956-0048-JPN,1956,0048,,Natural,Meteorological,Storm,,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1956,10,,1956,10,,44,,,,,,,,,,,9.288531531,,,,
1957-0039-JPN,1957,0039,,Natural,Meteorological,Storm,Tropical cyclone,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1957,9,,1957,9,,109,,,,,,,,,,,9.598904063,,,,
1957-0007-JPN,1957,0007,,Natural,Hydrological,Flood,,,,Japan,JPN,Eastern Asia,Asia,Kyushu Isl.,,,,,,,,,Km2,,,,,1957,7,,1957,7,,992,,258240,,258240,,,,,,,9.598904063,,,,
